speed,extend the arm to reach for the cup,reach out to take the cup,extend arm to reach for the cup,approach the cup
0.1,0,0,0,0
0.2,0.014522,0.01225,0.008437,0.016518
0.3,0.029045,0.0245,0.016875,0.033037
0.4,0.043567,0.03675,0.025312,0.049555
0.5,0.058089,0.049,0.033749,0.066073
